"","logFC","logCPM","LR","PValue","FDR","gene_name","gene_type"
"ENSG00000000003",0.34186835855411,5.63489601556824,0.390344156260326,0.532118554093242,0.715965654114448,"TSPAN6","protein_coding"
"ENSG00000000005",-3.39372406798072,-3.51418379872173,2.69700616389884,0.100536873617951,0.283917266344115,"TNMD","protein_coding"
"ENSG00000000419",0.450970935225802,5.45147761666818,1.10288872250689,0.293633023414497,0.509968240283052,"DPM1","protein_coding"
"ENSG00000000457",0.626493348543301,3.51167438923432,2.18071311433689,0.139749695804166,0.339635879810698,"SCYL3","protein_coding"
"ENSG00000000460",2.69277231687558,3.46394385927701,17.8505078230975,2.389554918211e-05,0.000530584710467458,"C1orf112","protein_coding"
"ENSG00000000938",-0.985087755637378,2.3991694428392,2.28348452026329,0.130757806971812,0.326899832355428,"FGR","protein_coding"
"ENSG00000000971",0.634755406713025,8.70862507428099,0.399501616974817,0.527346754874355,0.712230775259158,"CFH","protein_coding"
"ENSG00000001036",0.481116805895905,5.50179345666042,0.957758362448089,0.327752303680017,0.543702231909446,"FUCA2","protein_coding"
"ENSG00000001084",1.8711611897577,6.00786763998153,4.15902278411306,0.0414132905361775,0.169149400049014,"GCLC","protein_coding"
"ENSG00000001167",0.83542692086118,5.11365352968056,3.14621903079932,0.0761031139851244,0.242905974507995,"NFYA","protein_coding"
"ENSG00000001460",0.48699339396613,4.380957141142,0.77811050665343,0.377719637626345,0.591324993337865,"STPG1","protein_coding"
"ENSG00000001461",0.556605494973726,5.80556750826007,1.32027802577015,0.250542159854123,0.464207919146515,"NIPAL3","protein_coding"
"ENSG00000001497",0.760170978134276,5.98973536277081,1.83131024115158,0.175972864705707,0.38253294043222,"LAS1L","protein_coding"
"ENSG00000001561",-0.219668200990277,5.87661292197041,0.0488934439409832,0.825000072708155,0.908841783779692,"ENPP4","protein_coding"
"ENSG00000001617",2.02175728913451,5.84941560475401,8.27414033171152,0.00402136982759992,0.0343935982440485,"SEMA3F","protein_coding"
"ENSG00000001626",-1.08353242337487,3.32186041007753,0.404322315748509,0.524865433031624,0.710470824509069,"CFTR","protein_coding"
"ENSG00000001629",0.862238741476402,5.47428120070565,3.22996651658639,0.0723021669503076,0.235690962499768,"ANKIB1","protein_coding"
"ENSG00000001630",2.06406731320072,0.825288983569051,4.14386732098157,0.04178560208901,0.170111645409812,"CYP51A1","protein_coding"
"ENSG00000001631",0.26523983243903,5.32651856381085,0.333214840051539,0.563772177647729,0.741085094216739,"KRIT1","protein_coding"
"ENSG00000002016",-0.293940325655997,2.72947972396333,0.509112108583853,0.47552347027724,0.673441090556572,"RAD52","protein_coding"
"ENSG00000002079",2.3145049201811,-1.32904669819939,2.53295309671807,0.111491383961911,0.299553951684488,"MYH16","transcribed_unitary_pseudogene"
"ENSG00000002330",0.151578072583344,2.22622946779991,0.0674287599313956,0.795117962651876,0.891279850753896,"BAD","protein_coding"
"ENSG00000002549",0.877289893498763,7.09046819297476,1.96737639114184,0.160726618824091,0.36521543584286,"LAP3","protein_coding"
"ENSG00000002586",-1.12706139055129,7.98013460884971,4.70395174025408,0.0300933486594869,0.138999812454972,"CD99","protein_coding"
"ENSG00000002587",-0.231040412028231,4.56384521634105,0.0886378289441865,0.765916069176485,0.873445947839376,"HS3ST1","protein_coding"
"ENSG00000002726",-0.815530572374961,2.89725300686236,0.382052824013336,0.536506642201917,0.718950227357862,"AOC1","protein_coding"
"ENSG00000002745",2.10423575175235,-0.984142472252884,2.55777204136501,0.109753157500095,0.297175648347937,"WNT16","protein_coding"
"ENSG00000002746",2.40013236453321,0.0292750415457725,4.56179527562913,0.032692786404416,0.146035691775703,"HECW1","protein_coding"
