"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0290861491655448,2,10,37.2048780487805,"GO:0014701 junctional sarcoplasmic reticulum membrane "," http://amigo.geneontology.org/amigo/term/GO:0014701"," JPH4  CASQ2"
0.014224175512673,3,25,22.3229268292683,"GO:0031233 intrinsic component of external side of plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0031233"," F10  PRND  GPIHBP1"
0.0290861491655448,3,41,13.6115407495538,"GO:0033017 sarcoplasmic reticulum membrane "," http://amigo.geneontology.org/amigo/term/GO:0033017"," PLN  JPH4  CASQ2"
0.0101734800360889,5,91,10.2211203430716,"GO:0005901 caveola "," http://amigo.geneontology.org/amigo/term/GO:0005901"," PTGIS  ATP1A2  ADCYAP1R1  ADRA1A  TRPC4"
0.0213925855982415,5,124,7.50098347757671,"GO:0044853 plasma membrane raft "," http://amigo.geneontology.org/amigo/term/GO:0044853"," PTGIS  ATP1A2  ADCYAP1R1  ADRA1A  TRPC4"
0.0274047933767412,5,139,6.69152482891735,"GO:0042383 sarcolemma "," http://amigo.geneontology.org/amigo/term/GO:0042383"," PGM5  DES  ATP1A2  SGCA  ADRA1A"
0.0274047933767412,5,141,6.59660958311711,"GO:0030018 Z disc "," http://amigo.geneontology.org/amigo/term/GO:0030018"," CASQ2  DES  ADRA1A  PGM5  TRIM63"
0.0290861491655448,5,155,6.00078678206137,"GO:0031674 I band "," http://amigo.geneontology.org/amigo/term/GO:0031674"," CASQ2  DES  ADRA1A  PGM5  TRIM63"
0.0290861491655448,6,229,4.87400149110661,"GO:0030017 sarcomere "," http://amigo.geneontology.org/amigo/term/GO:0030017"," CASQ2  LMOD1  DES  ADRA1A  PGM5  TRIM63"
0.0355156364110497,6,243,4.5931948208371,"GO:0034703 cation channel complex "," http://amigo.geneontology.org/amigo/term/GO:0034703"," GRIA2  DPP6  TRPC4  SCN7A  KCNMB1  CASQ2"
0.0359520967671597,6,250,4.46458536585366,"GO:0030016 myofibril "," http://amigo.geneontology.org/amigo/term/GO:0030016"," CASQ2  LMOD1  DES  PGM5  ADRA1A  TRIM63"
0.0101734800360889,12,602,3.70812738027713,"GO:0031012 extracellular matrix "," http://amigo.geneontology.org/amigo/term/GO:0031012"," CMA1  OGN  DPT  LEFTY2  NCAM1  CLEC3B  ANGPTL1  ADAMTS5  UCMA  HPSE2  LINGO2  MYOC"
0.0101734800360889,12,603,3.70197791530154,"GO:0030312 external encapsulating structure "," http://amigo.geneontology.org/amigo/term/GO:0030312"," CMA1  OGN  DPT  LEFTY2  NCAM1  CLEC3B  ANGPTL1  ADAMTS5  UCMA  HPSE2  LINGO2  MYOC"
0.0264021591126695,9,453,3.69584881279276,"GO:0062023 collagen-containing extracellular matrix "," http://amigo.geneontology.org/amigo/term/GO:0062023"," CMA1  OGN  DPT  LEFTY2  NCAM1  CLEC3B  ANGPTL1  MYOC  ADAMTS5"
0.0359520967671597,8,431,3.45288891403995,"GO:1902495 transmembrane transporter complex "," http://amigo.geneontology.org/amigo/term/GO:1902495"," GRIA2  DPP6  TRPC4  SCN7A  KCNMB1  ATP1A2  PLN  CASQ2"
0.014224175512673,19,1435,2.46304070706212,"GO:0045202 synapse "," http://amigo.geneontology.org/amigo/term/GO:0045202"," GRIA2  ADGRB3  FAM107A  PDE2A  ATP1A2  PSD  CHRDL1  ADRA1A  PLP1  DGKB  KCNMB1  GPM6A  NPY5R  HTR1E  SYT9  DES  KCTD8  FRRS1L  CRHBP"
0.0355156364110497,16,1332,2.23452721013697,"GO:0098590 plasma membrane region "," http://amigo.geneontology.org/amigo/term/GO:0098590"," PDE2A  PSD  PTGIS  TRPC4  FAM107A  ATP1A2  ADCYAP1R1  GRIA2  ADRA1A  DGKB  ABCA8  GPM6A  CD300LG  KCTD8  GPIHBP1  PIANP"
0.014224175512673,23,1978,2.16307430516166,"GO:0031226 intrinsic component of plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0031226"," ADGRD1  GRIA2  ADRA1A  DPP6  TRPC4  ADGRB3  SCN7A  KCNMB1  HTR1E  ATP1A2  F10  AGTR2  PRND  GPIHBP1  PLP1  GPM6A  SCARA5  PTGER3  ADCYAP1R1  AQP8  MAS1  NPY1R  NPY5R"
0.0274047933767412,24,2293,1.94704987608097,"GO:0030054 cell junction "," http://amigo.geneontology.org/amigo/term/GO:0030054"," CNN1  GRIA2  ADGRB3  PGM5  FAM107A  DES  PDE2A  TRPC4  ATP1A2  PSD  ADCYAP1R1  CHRDL1  SGCA  ADRA1A  PLP1  DGKB  KCNMB1  GPM6A  NPY5R  HTR1E  SYT9  KCTD8  FRRS1L  CRHBP"
0.0101734800360889,44,4673,1.75156712405986,"GO:0005576 extracellular region "," http://amigo.geneontology.org/amigo/term/GO:0005576"," ATP1A2  MYOC  CMA1  BPI  OGN  ANGPTL1  DPT  GPM6A  GFRA1  C16orf89  SCGB3A1  CLEC3B  FRMD7  SCGB1D1  DES  C6orf58  SFRP5  F10  MASP1  ADGRB3  LEFTY2  CRHBP  PI16  UCMA  LINGO2  GREM2  CCL14  HSPB6  GSTM5  WFIKKN2  CHRDL1  NCAM1  ADAMTS5  CMTM5  RSPO1  TRH  HPSE2  LCN10  PLAC9  FAM180B  PTGIS  PRND  OPCML  GPIHBP1"
