"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.96027406028178e-16,21,133,13.8421052631579,"GO:0051983 reg. of chromosome segregation "," http://amigo.geneontology.org/amigo/term/GO:0051983"," TTK  MKI67  BUB1B  PTTG1  BUB1  UBE2C  CDCA2  BIRC5  CDC20  CDCA8  NUF2  AURKB  CDC6  NCAPG  NCAPH  HORMAD1  KIF2C  CDT1  CENPF  DLGAP5  ESPL1"
5.4102596518686e-19,29,238,10.6820728291317,"GO:0000819 sister chromatid segregation "," http://amigo.geneontology.org/amigo/term/GO:0000819"," SMC1B  NCAPG  TTK  NCAPH  KIF18A  CENPK  SGO1  TOP2A  CDCA8  NUF2  BUB1B  PTTG1  BUB1  ESCO2  UBE2C  KIF18B  BIRC5  CDC20  AURKB  NEK2  ESPL1  HORMAD1  KIF4A  CDC6  KIF14  KIF2C  CDT1  CENPF  DLGAP5"
3.63198652216776e-16,25,209,10.4864433811802,"GO:0000070 mitotic sister chromatid segregation "," http://amigo.geneontology.org/amigo/term/GO:0000070"," NCAPG  TTK  NCAPH  KIF18A  CENPK  SGO1  CDCA8  NUF2  BUB1B  PTTG1  BUB1  UBE2C  KIF18B  BIRC5  CDC20  AURKB  NEK2  ESPL1  KIF4A  CDC6  KIF14  KIF2C  CDT1  CENPF  DLGAP5"
5.46716570916669e-21,35,333,9.21421421421421,"GO:0098813 nuclear chromosome segregation "," http://amigo.geneontology.org/amigo/term/GO:0098813"," SMC1B  NCAPG  TTK  CENPF  NCAPH  KIF18A  CENPK  SGO1  TOP2A  CDCA8  ESPL1  KNL1  NUF2  HORMAD1  BUB1B  PTTG1  SHOC1  MAJIN  BUB1  ESCO2  UBE2C  KIF18B  BIRC5  CDC20  AURKB  NEK2  BRIP1  KIF4A  CDC6  FAM83D  KIF14  KIF2C  CDT1  DLGAP5  SYCP2"
1.84565514360883e-24,41,395,9.09957805907173,"GO:0007059 chromosome segregation "," http://amigo.geneontology.org/amigo/term/GO:0007059"," SMC1B  OIP5  NCAPG  TTK  NEK2  CENPF  NCAPH  KIF18A  CENPK  DLGAP5  SGO1  TOP2A  CDCA8  ESPL1  KNL1  NUF2  HORMAD1  MKI67  SKA1  BUB1B  PTTG1  SHOC1  SKA3  MAJIN  BUB1  ESCO2  UBE2C  CDCA2  KIF18B  BIRC5  CDC20  AURKB  CDC6  BRIP1  KIF2C  KIF4A  FAM83D  KIF14  HJURP  CDT1  SYCP2"
1.74998383643969e-18,33,346,8.36127167630058,"GO:0140014 mitotic nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0140014"," TPX2  NCAPG  TTK  NCAPH  KIF18A  CENPK  SGO1  CDCA8  KIF11  NUF2  MKI67  BUB1B  PTTG1  BUB1  UBE2C  CDCA2  KIF18B  BIRC5  CDC20  AURKB  MYBL2  NEK2  ESPL1  KIF4A  CDC6  KIF14  KIF2C  CDT1  CENPF  DLGAP5  ANLN  PKMYT1  CDC25C"
3.3465401036464e-21,42,514,7.16342412451362,"GO:0000280 nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0000280"," RAD54L  TPX2  NCAPG  TTK  NCAPH  KIF18A  CENPK  SGO1  TOP2A  CDCA8  ESPL1  BRIP1  KIF11  NUF2  HORMAD1  MKI67  BUB1B  PTTG1  SHOC1  MAJIN  BUB1  UBE2C  CDCA2  KIF18B  SYCP2  BIRC5  CDC20  AURKB  ASPM  MYBL2  NEK2  CCNB2  KIF4A  CDC6  KIF14  KIF2C  CDT1  CENPF  DLGAP5  ANLN  PKMYT1  CDC25C"
1.14648560309818e-20,43,564,6.6838061465721,"GO:0048285 organelle fission "," http://amigo.geneontology.org/amigo/term/GO:0048285"," RAD54L  TPX2  NCAPG  TTK  NCAPH  KIF18A  CENPK  SGO1  TOP2A  CDCA8  ESPL1  BRIP1  KIF11  NUF2  HORMAD1  MTFR2  MKI67  BUB1B  PTTG1  SHOC1  MAJIN  BUB1  UBE2C  CDCA2  KIF18B  SYCP2  BIRC5  CDC20  AURKB  ASPM  MYBL2  NEK2  CCNB2  KIF4A  CDC6  KIF14  KIF2C  CDT1  CENPF  DLGAP5  ANLN  PKMYT1  CDC25C"
7.99852997297972e-25,52,689,6.61635220125786,"GO:0051301 cell division "," http://amigo.geneontology.org/amigo/term/GO:0051301"," ANLN  SEPTIN3  CEP55  SKA1  AURKB  BIRC5  CDCA8  KIF20A  KIF18B  PAX6  ASPM  TP63  TPX2  CDC6  FAM83D  OIP5  NCAPG  CDCA3  CENPA  CDC20  NEK2  CENPF  KIF14  NCAPH  E2F8  PIMREG  SGO1  TOP2A  BRIP1  KNL1  KIF11  KIF2C  NUF2  BUB1B  CCNB2  CDC25C  PTTG1  SKA3  E2F7  CDT1  BUB1  CDK1  UBE2C  SFN  CDCA2  SAPCD2  ERCC6L  SYCP2  KIF4A  BLM  CDKN2A  ESPL1"
3.16667963028713e-16,35,474,6.4732770745429,"GO:1901987 reg. of cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:1901987"," ORC1  CLSPN  CDC6  FAM83D  TTK  CENPF  HORMAD1  BUB1B  CDC25C  CDT1  BUB1  CDK1  UBE2C  BIRC5  CDC20  CDCA8  NUF2  AURKB  STIL  CDKN2A  RRM2  SOX2  BLM  EZH2  TERT  E2F7  OVOL1  TP63  KIF14  GTSE1  DLGAP5  ESPL1  BRIP1  ANLN  CDC45"
1.68925138126273e-14,33,476,6.07773109243698,"GO:0044772 mitotic cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:0044772"," ORC1  CLSPN  CDC6  TTK  CENPF  BUB1B  CCNB2  CDC25C  BUB1  CDK1  UBE2C  BIRC5  CDC20  CDCA8  NUF2  AURKB  FOXM1  STIL  CDKN2A  E2F7  RRM2  BLM  EZH2  TERT  IQGAP3  KIF14  CDT1  GTSE1  DLGAP5  ESPL1  ANLN  PKMYT1  MELK"
1.56572965374538e-15,36,534,5.91011235955056,"GO:0007346 reg. of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0007346"," ORC1  CLSPN  CDC6  TTK  CENPF  DLGAP5  MKI67  BUB1B  CDC25C  BUB1  CDK1  UBE2C  CDCA2  BIRC5  CDC20  CDCA8  NUF2  AURKB  STIL  CDKN2A  RRM2  BLM  MCIDAS  EZH2  TERT  E2F7  OVOL1  TP73  KIF14  FOXA1  CDT1  GTSE1  ESPL1  ANLN  NEK2  PKMYT1"
