"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.55233761336516e-13,20,172,10.1937984496124,"GO:0000776 kinetochore "," http://amigo.geneontology.org/amigo/term/GO:0000776"," TTK  SGO1  NUF2  SKA1  SKA3  KNL1  BIRC5  CENPA  NEK2  CENPF  HJURP  KIF2C  BUB1B  CDT1  BUB1  AURKB  KIF18A  CENPK  CENPU  ERCC6L"
1.91329934586502e-13,21,182,10.1153846153846,"GO:0000779 condensed chromosome centromeric region "," http://amigo.geneontology.org/amigo/term/GO:0000779"," TTK  SGO1  NUF2  SKA1  SKA3  KNL1  BIRC5  CENPA  NEK2  CENPF  HJURP  KIF2C  BUB1B  CDT1  BUB1  AURKB  NCAPG  KIF18A  CENPK  CENPU  ERCC6L"
6.16166738478866e-17,28,265,9.26289308176101,"GO:0000775 chromosome centromeric region "," http://amigo.geneontology.org/amigo/term/GO:0000775"," OIP5  TTK  CENPF  HJURP  SGO1  CDCA8  NUF2  SKA1  SKA3  KNL1  BIRC5  CENPA  NEK2  KIF2C  BUB1B  CDT1  BUB1  AURKB  SMC1B  EZH2  NCAPG  KIF18A  CENPK  TOP2A  CENPU  ESCO2  ERCC6L  H4C4"
1.72611766705873e-05,9,88,8.96590909090909,"GO:0005876 spindle microtubule "," http://amigo.geneontology.org/amigo/term/GO:0005876"," BIRC5  KIF18A  SKA1  SKA3  AURKB  KIF18B  KIF11  CDK1  KIF4A"
6.16166738478866e-17,29,287,8.85830429732869,"GO:0000793 condensed chromosome "," http://amigo.geneontology.org/amigo/term/GO:0000793"," SMC1B  NCAPG  TTK  SGO1  NUF2  SKA1  SHOC1  SKA3  SYCP2  KNL1  BIRC5  CENPA  NEK2  CENPF  HJURP  KIF2C  MKI67  BUB1B  CDT1  BUB1  AURKB  BLM  NCAPH  KIF18A  CENPK  TOP2A  HORMAD1  CENPU  ERCC6L"
2.98152131759308e-08,14,139,8.82973621103118,"GO:0000786 nucleosome "," http://amigo.geneontology.org/amigo/term/GO:0000786"," CENPA  H3C12  H3C8  H4C4  H3C7  H3C2  H1-3  H2BC13  H2AC13  H2BC17  H2BC9  H2AC14  H2AC16  H2BC7"
5.59698856876632e-11,20,222,7.8978978978979,"GO:0044815 DNA packaging complex "," http://amigo.geneontology.org/amigo/term/GO:0044815"," SMC1B  NUF2  NCAPG  NCAPH  KNL1  TERT  CENPA  H3C12  H3C8  H4C4  H3C7  H3C2  H1-3  H2BC13  H2AC13  H2BC17  H2BC9  H2AC14  H2AC16  H2BC7"
3.16352285369354e-16,33,423,6.83924349881797,"GO:0098687 chromosomal region "," http://amigo.geneontology.org/amigo/term/GO:0098687"," ORC1  CDK1  H4C4  OIP5  TTK  CENPF  HJURP  SGO1  CDCA8  NUF2  SKA1  SKA3  KNL1  TERT  BIRC5  CENPA  NEK2  KIF2C  BUB1B  CDT1  BUB1  AURKB  BLM  SMC1B  EZH2  NCAPG  KIF18A  CENPK  TOP2A  CENPU  MAJIN  ESCO2  ERCC6L"
1.93564225644959e-05,12,176,5.97727272727273,"GO:0000922 spindle pole "," http://amigo.geneontology.org/amigo/term/GO:0000922"," FAM83D  CENPF  DLGAP5  AURKB  ASPM  TPX2  CDC6  SGO1  KIF11  CDC20  NEK2  CKAP2L"
8.63174570154027e-08,18,270,5.84444444444444,"GO:0000228 nuclear chromosome "," http://amigo.geneontology.org/amigo/term/GO:0000228"," MCM10  ORC1  SHOC1  SYCP2  BIRC5  TOP2A  H3C12  BLM  H3C8  H4C4  H3C7  H3C2  SMC1B  NCAPG  NEK2  NCAPH  HORMAD1  CDC45"
7.72853784462888e-07,16,245,5.72517006802721,"GO:0032993 protein-DNA complex "," http://amigo.geneontology.org/amigo/term/GO:0032993"," CDC45  TERT  CENPA  H3C12  H3C8  H4C4  H3C7  H3C2  H1-3  H2BC13  H2AC13  H2BC17  H2BC9  H2AC14  H2AC16  H2BC7"
1.72611766705873e-05,13,206,5.53236245954693,"GO:0072686 mitotic spindle "," http://amigo.geneontology.org/amigo/term/GO:0072686"," TPX2  FAM83D  KIF18A  ESPL1  SKA1  CKAP2L  KIF18B  ASPM  CDC6  KIF11  SKA3  CDK1  AURKB"
2.14772372597568e-05,13,212,5.37578616352201,"GO:0030496 midbody "," http://amigo.geneontology.org/amigo/term/GO:0030496"," CEP55  ANLN  BIRC5  KIF4A  KIF20A  CENPF  KIF14  CDCA8  CDK1  AURKB  ASPM  NEK2  SHCBP1"
3.01339279119126e-11,28,459,5.34785766158315,"GO:0005819 spindle "," http://amigo.geneontology.org/amigo/term/GO:0005819"," TPX2  BIRC5  FAM83D  TTK  CENPF  KIF18A  DLGAP5  CDCA8  ESPL1  KIF2C  SKA1  SKA3  CKAP2L  AURKB  KIF18B  ASPM  HMMR  CDC6  KIF20A  KIF14  SGO1  KIF11  BUB1B  CDK1  KIF4A  CDC20  NEK2  SHCBP1"
1.31805241852636e-29,91,2003,3.98285904476618,"GO:0005694 chromosome "," http://amigo.geneontology.org/amigo/term/GO:0005694"," ORC1  CDK1  H4C4  MCM10  SMC1B  OIP5  NCAPG  TTK  CENPF  HJURP  SGO1  CDCA8  NUF2  MKI67  SKA1  SHOC1  SKA3  CDCA2  FAM111B  SYCP2  BLM  NCAPH  KNL1  TERT  PAX6  TP63  BIRC5  ASF1B  EZH2  CENPA  NEK2  H1-3  TOP2A  KIF2C  CDKN2A  BUB1B  CDT1  BUB1  ESCO2  AURKB  H3C12  H3C8  UHRF1  H3C7  H3C2  POLQ  TP73  KIF4A  SALL4  NEIL3  KIF18A  CENPK  HORMAD1  CENPU  MAJIN  H2BC13  ERCC6L  H2AC13  H2BC17  H2BC9  H2AC14  H2AC16  H2BC7  CDC45  E2F2  PITX1  HES2  LHX2  DLX4  FOXN1  FOXM1  IRX4  TLX2  OTX1  HOXC13  E2F8  FOXA1  MNX1  GRHL1  TFAP2A  DMRTA2  GRHL3  SIM2  ISL2  E2F7  ONECUT1  IRX5  FOXE1  SOX2  FOXE3  MESP2"
3.99965908854596e-13,53,1392,3.33788314176245,"GO:0000785 chromatin "," http://amigo.geneontology.org/amigo/term/GO:0000785"," OIP5  FAM111B  PAX6  TP63  ASF1B  EZH2  CENPA  H1-3  CDKN2A  ESCO2  H3C12  H3C8  UHRF1  H4C4  H3C7  H3C2  TP73  SALL4  H2BC13  H2AC13  H2BC17  H2BC9  H2AC14  H2AC16  H2BC7  E2F2  PITX1  HES2  LHX2  DLX4  FOXN1  FOXM1  IRX4  TLX2  OTX1  HOXC13  E2F8  FOXA1  MNX1  GRHL1  TFAP2A  DMRTA2  GRHL3  SIM2  ISL2  E2F7  ONECUT1  IRX5  FOXE1  SOX2  FOXE3  MESP2  CENPF"
1.00910607025694e-07,45,1513,2.60740251156642,"GO:0099080 supramolecular complex "," http://amigo.geneontology.org/amigo/term/GO:0099080"," GTSE1  TPX2  BIRC5  DSP  TNNT1  TTK  KIF20A  KIF14  TNNT2  KIF18A  SGO1  DIAPH3  KIF2C  NUF2  SKA1  SKA3  KRT80  KRT78  KRT86  AURKB  KRT5  KIF18B  RYR1  KRT6A  KNL1  ASPM  CENPA  NEK2  CENPF  HJURP  IGF2BP3  KIF11  BUB1B  IGF2BP1  CDT1  BUB1  CDK1  KIF4A  KLC3  CENPK  CENPU  SPAG17  ERCC6L  EXD1  PKP1"
4.72451022882682e-06,40,1441,2.43349525792274,"GO:0015630 microtubule cytoskeleton "," http://amigo.geneontology.org/amigo/term/GO:0015630"," GTSE1  TPX2  BIRC5  SEPTIN3  FAM83D  KLC3  TTK  KIF20A  NEK2  CENPF  KIF14  KIF18A  STIL  DLGAP5  CDCA8  ESPL1  KIF2C  SKA1  CCNB2  SKA3  CKAP2L  AURKB  KIF18B  ASPM  HMMR  CDC45  CDC6  SGO1  TOP2A  KIF11  CEP55  CENPU  BUB1B  CAMK2N2  PCLAF  CDK1  KIF4A  CDC20  SPAG17  SHCBP1"
7.33028254242202e-06,87,4581,1.66492032307356,"GO:0005654 nucleoplasm "," http://amigo.geneontology.org/amigo/term/GO:0005654"," CDC45  PAX6  ANLN  ZIC2  POLQ  MCM10  TP63  SMC1B  TP73  PKP1  ORC1  RAD54L  TPX2  KIF4A  CLSPN  CDC6  MYBL2  SALL4  OIP5  ASF1B  EZH2  DLX4  NEIL3  KIF20A  CENPA  CDC20  NEK2  CENPF  NCAPH  CSTA  HJURP  PKMYT1  E2F8  PIMREG  FOXA1  SGO1  MNX1  TOP2A  GRHL1  CDCA8  BRIP1  TFAP2A  KNL1  CLCA2  NUF2  CDKN2A  MKI67  CENPU  GRHL3  CDC25C  IGF2BP1  SIM2  INAVA  CAMK2N2  TERT  E2F7  CDT1  BUB1  CDK1  ESCO2  EXO1  AURKB  SOX2  CDCA2  H2BC13  KIF18B  SAPCD2  GJB4  BLM  MCIDAS  H2BC17  H2BC9  UHRF1  H2BC7  H4C4  RDM1  E2F2  GTSE1  BIRC5  FOXM1  CENPK  PCLAF  UBE2C  H3C12  H3C8  H3C7  H3C2"
8.66318914840631e-06,92,4973,1.62182451906964,"GO:0031981 nuclear lumen "," http://amigo.geneontology.org/amigo/term/GO:0031981"," MCM10  ORC1  CDC45  SHOC1  SYCP2  RDM1  PAX6  ANLN  ZIC2  POLQ  TP63  SMC1B  TP73  PKP1  RAD54L  TPX2  BIRC5  KIF4A  CLSPN  CDC6  MYBL2  SALL4  OIP5  ASF1B  EZH2  DLX4  NEIL3  KIF20A  CENPA  CDC20  NEK2  CENPF  NCAPH  CSTA  HJURP  PKMYT1  E2F8  PIMREG  FOXA1  SGO1  MNX1  TOP2A  GRHL1  CDCA8  BRIP1  TFAP2A  KNL1  CLCA2  NUF2  CDKN2A  MKI67  CENPU  GRHL3  CDC25C  IGF2BP1  SIM2  INAVA  CAMK2N2  TERT  E2F7  CDT1  BUB1  CDK1  ESCO2  EXO1  AURKB  SOX2  CDCA2  H2BC13  KIF18B  SAPCD2  GJB4  H3C12  BLM  MCIDAS  H3C8  H2BC17  H2BC9  UHRF1  H4C4  H2BC7  H3C7  H3C2  NCAPG  HORMAD1  FAM83A  E2F2  GTSE1  FOXM1  CENPK  PCLAF  UBE2C"
