"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000801463910277109,4,16,21.9166666666667,"GO:0003688 DNA replication origin binding "," http://amigo.geneontology.org/amigo/term/GO:0003688"," MCM10  ORC1  CDC45  CDC6"
0.0002506858729595,6,38,13.8421052631579,"GO:0030280 structural constituent of skin epidermis "," http://amigo.geneontology.org/amigo/term/GO:0030280"," KRT80  KRT78  KRT86  KRT5  KRT6A  PKP1"
4.22514561733646e-10,15,107,12.2897196261682,"GO:0030527 structural constituent of chromatin "," http://amigo.geneontology.org/amigo/term/GO:0030527"," ASF1B  CENPA  H1-3  H2BC13  H2AC13  H3C12  H3C8  H2BC17  H2BC9  H2AC14  H2AC16  H4C4  H2BC7  H3C7  H3C2"
0.000716691763735036,7,74,8.29279279279279,"GO:0003777 microtubule motor activity "," http://amigo.geneontology.org/amigo/term/GO:0003777"," KIF20A  KIF14  KIF18A  KIF11  KIF2C  KIF18B  KIF4A"
1.54858133699761e-05,16,286,4.9044289044289,"GO:0008017 microtubule binding "," http://amigo.geneontology.org/amigo/term/GO:0008017"," GTSE1  TPX2  KIF20A  KIF14  KIF18A  DLGAP5  DIAPH3  KIF2C  SKA1  KIF18B  FAM83D  KIF4A  KLC3  CENPF  KIF11  BIRC5"
0.000801463910277109,15,371,3.544474393531,"GO:0046982 protein heterodimerization activity "," http://amigo.geneontology.org/amigo/term/GO:0046982"," CENPA  SIM2  H2BC13  H2AC13  H3C12  H3C8  H2BC17  H2BC9  H2AC14  H2AC16  H4C4  H2BC7  H3C7  H3C2  TOP2A"
0.000631184518755078,16,400,3.50666666666667,"GO:0015631 tubulin binding "," http://amigo.geneontology.org/amigo/term/GO:0015631"," GTSE1  TPX2  KIF20A  KIF14  KIF18A  DLGAP5  DIAPH3  KIF2C  SKA1  KIF18B  FAM83D  KIF4A  KLC3  CENPF  KIF11  BIRC5"
1.26203767927067e-05,25,636,3.44601677148847,"GO:0003682 chromatin binding "," http://amigo.geneontology.org/amigo/term/GO:0003682"," CDC45  NCAPH  H1-3  PCLAF  POLQ  TP63  EZH2  TOP2A  GRHL1  GRHL3  CDT1  PAX6  ORC1  LHX2  PRDM13  HOXC13  FOXA1  BRIP1  ONECUT1  CDK1  EXO1  ZIC2  TFAP2A  CENPF  CENPA"
0.000277913990768563,22,643,2.99948159668222,"GO:0140657 ATP-dependent activity "," http://amigo.geneontology.org/amigo/term/GO:0140657"," RAD54L  KIF20A  KIF14  ABCC11  KIF18A  BRIP1  KIF11  SLC27A2  KIF2C  ABCA12  KIF18B  ERCC6L  BLM  POLQ  TNNT2  TOP2A  SHOC1  SMC1B  ORC1  KIF4A  DQX1  ATP6V0D2"
5.76623919030258e-13,79,2707,2.55842876493043,"GO:0003677 DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003677"," PAX6  E2F2  ZIC2  MCM10  PITX1  HES2  TP63  SMC1B  TP73  ORC1  CDC45  CDC6  MYBL2  SALL4  LHX2  DLX4  FOXN1  FOXM1  IRX4  TLX2  OTX1  HOXC13  H1-3  E2F8  FOXA1  MNX1  GRHL1  TFAP2A  ZIC5  DMRTA2  GRHL3  SIM2  ISL2  TERT  SHOC1  E2F7  CDT1  ONECUT1  OVOL1  IRX5  FOXE1  SOX2  H2BC13  FOXE3  MESP2  H2AC13  H2BC17  H2BC9  H2AC14  H2AC16  H4C4  H2BC7  BLM  RAD54L  CLSPN  EZH2  NEIL3  TOP2A  EXO1  UHRF1  POLQ  KIF4A  PRDM13  CENPA  HJURP  BRIP1  CDKN2A  MKI67  MAJIN  DDN  ERCC6L  SYCP2  H3C12  H3C8  H3C7  RDM1  H3C2  MMP12  KIF2C"
