"","logFC","logCPM","LR","PValue","FDR","gene_name","gene_type"
"ENSG00000004776",-5.86479942613095,1.56056161984471,63.4446139022688,1.64939774790474e-15,6.03856296920412e-13,"HSPB6","protein_coding"
"ENSG00000018625",-5.05437280695077,0.375450465427028,33.63700281667,6.64171775741957e-09,3.9203981994995e-07,"ATP1A2","protein_coding"
"ENSG00000034971",-5.50028578590849,-0.40053658904734,29.2954114537513,6.21426700454677e-08,2.83122004727151e-06,"MYOC","protein_coding"
"ENSG00000050628",-6.15871452153397,3.81708306173731,55.3274826617436,1.02032011866029e-13,2.16399342132136e-11,"PTGER3","protein_coding"
"ENSG00000059915",-5.94172340242302,2.81670863300352,142.878077497085,6.25012583475272e-33,6.40700399320502e-29,"PSD","protein_coding"
"ENSG00000078549",-5.07472400399783,-0.416538301795147,44.2492745745223,2.89111509721049e-11,2.87736124868978e-09,"ADCYAP1R1","protein_coding"
"ENSG00000082175",-6.03834043861183,4.67048096760833,71.1139622842985,3.37175512300916e-17,1.92021454255372e-14,"PGR","protein_coding"
"ENSG00000091831",-5.12443476368249,5.20203790158199,69.4898662730747,7.68081264837835e-17,3.87226280943573e-14,"ESR1","protein_coding"
"ENSG00000092009",-5.77172651930317,-1.52317778737441,36.4041326238843,1.6036283848191e-09,1.11575528774529e-07,"CMA1","protein_coding"
"ENSG00000092051",-6.0032860096187,1.50773689738334,70.1213887279743,5.57650284846405e-17,3.00867003682132e-14,"JPH4","protein_coding"
"ENSG00000101251",-6.15051727559649,-2.15093711185423,31.4420533320625,2.05481867851248e-08,1.04795752604137e-06,"SEL1L2","protein_coding"
"ENSG00000101425",-6.18170264494155,-1.55054899414466,43.265760997457,4.77872865709165e-11,4.42651332504637e-09,"BPI","protein_coding"
"ENSG00000101938",-5.62990782985326,4.26898261663469,20.022028787238,7.65551472580787e-06,0.000197508426478833,"CHRDL1","protein_coding"
"ENSG00000101951",-5.76440561789666,-0.69065133641467,11.3860618448676,0.00073997241493929,0.00957366772475125,"PAGE4","protein_coding"
"ENSG00000102271",-5.2081639292417,-0.284951873627082,25.8550894106782,3.6803302998712e-07,1.36692267768042e-05,"KLHL4","protein_coding"
"ENSG00000103375",-6.51872032903332,-3.16027688775088,63.8121351634448,1.36867883558137e-15,5.13304636958948e-13,"AQP8","protein_coding"
"ENSG00000106809",-6.4673425267444,6.42264886788984,58.3234143774315,2.22381582159011e-14,5.5600819480781e-12,"OGN","protein_coding"
"ENSG00000108823",-5.97885725853769,0.583472058624327,64.4300480579875,1.00021088433003e-15,3.94352375971814e-13,"SGCA","protein_coding"
"ENSG00000109906",-5.73600212593067,3.53203485863672,71.4386476728257,2.86014666431723e-17,1.69150173784131e-14,"ZBTB16","protein_coding"
"ENSG00000111404",-5.38113963682604,2.84877275343053,47.3145468337089,6.04618449421115e-12,7.29169850001864e-10,"RERGL","protein_coding"
"ENSG00000111452",-5.61662686093928,1.77934336331334,73.8426360115088,8.45994234677582e-18,5.42017931229994e-15,"ADGRD1","protein_coding"
"ENSG00000112183",-6.4927227146969,2.04486979650095,81.2483200188322,1.9906474284497e-19,1.97478646345528e-16,"RBM24","protein_coding"
"ENSG00000116194",-6.25359599194407,5.11863274942127,76.0375671830753,2.78319146310004e-18,1.94526106965262e-15,"ANGPTL1","protein_coding"
"ENSG00000118729",-5.60499069211455,0.977017266367468,59.4225196939814,1.27205054963872e-14,3.46189119938403e-12,"CASQ2","protein_coding"
"ENSG00000120057",-5.02181675024316,-2.90350420578138,18.7125581664689,1.5197827268531e-05,0.000360353725512055,"SFRP5","protein_coding"
"ENSG00000120251",-6.13231397287832,0.130882127611368,24.7348452681746,6.57840172069385e-07,2.29118076188146e-05,"GRIA2","protein_coding"
"ENSG00000120907",-5.34421104944953,-2.76885253862356,18.3343625321382,1.85333934509291e-05,0.000426934418574099,"ADRA1A","protein_coding"
"ENSG00000123560",-5.21038954430119,0.265988640256352,19.9245394405239,8.05596313396985e-06,0.000205939346848691,"PLP1","protein_coding"
"ENSG00000124194",-6.38576146082336,-3.92722310296113,84.1622615140262,4.55788396572429e-20,5.60674422391676e-17,"GDAP1L1","protein_coding"
"ENSG00000124212",-5.92173300467068,5.54912553741746,56.9903993116835,4.37944669525085e-14,1.01264003172218e-11,"PTGIS","protein_coding"
"ENSG00000126218",-5.65516427439736,0.551291582684174,94.7974499862553,2.1089714229393e-22,4.05357488560327e-19,"F10","protein_coding"
"ENSG00000127241",-5.84657786738324,4.63380177060657,55.4066003533401,9.80068154313434e-14,2.10769482165042e-11,"MASP1","protein_coding"
"ENSG00000127903",-5.00158884581794,-1.98412245042585,48.1495598524436,3.94917587819514e-12,4.95343267516666e-10,"ZNF835","protein_coding"
"ENSG00000130176",-5.55829236803416,6.74774763129494,36.5029080261565,1.52438656657731e-09,1.06786925015836e-07,"CNN1","protein_coding"
"ENSG00000130226",-7.06318601577703,2.98980955978527,46.0872057387499,1.13104673579362e-11,1.26945548415551e-09,"DPP6","protein_coding"
"ENSG00000130368",-5.03828388883272,-2.38267292120435,21.5568582804197,3.43492134612338e-06,9.85393061169145e-05,"MAS1","protein_coding"
"ENSG00000131831",-5.23796357241346,2.29179099986286,83.3864850386994,6.74817724161497e-20,7.9761729708202e-17,"RAI2","protein_coding"
"ENSG00000133107",-5.43762799968519,4.86191586276896,80.239974698914,3.31590592428638e-19,3.18668921529934e-16,"TRPC4","protein_coding"
"ENSG00000134201",-6.44867263509432,2.47021983194745,123.826654879673,9.19342612964419e-29,4.03893476807068e-25,"GSTM5","protein_coding"
"ENSG00000135298",-5.10167353713251,-1.65887935400112,21.053886164965,4.4654625613915e-06,0.000123717450586011,"ADGRB3","protein_coding"
"ENSG00000136267",-6.15660061336392,2.19670831353082,46.5141151102428,9.09608601722234e-12,1.05657307213073e-09,"DGKB","protein_coding"
"ENSG00000136546",-5.66894357702194,0.510311833284223,32.9114810453189,9.6451965769195e-09,5.35412870631779e-07,"SCN7A","protein_coding"
"ENSG00000139200",-5.06740354603657,0.380291902630428,59.7095849948338,1.09939799906916e-14,3.04592672661026e-12,"PIANP","protein_coding"
"ENSG00000140465",-5.36949227796577,-1.25088591797968,23.8519061877836,1.04038803408715e-06,3.44403156214016e-05,"CYP1A1","protein_coding"
"ENSG00000141052",-5.20149206440092,2.79949854232164,35.0046935535454,3.28911546561688e-09,2.09420637503345e-07,"MYOCD","protein_coding"
"ENSG00000141338",-5.70318183964009,4.57869512529248,58.3830923675262,2.15737110944379e-14,5.4530810092645e-12,"ABCA8","protein_coding"
"ENSG00000143196",-5.56749061870479,3.66763405954766,49.8308889771835,1.67584770981493e-12,2.32150200990714e-10,"DPT","protein_coding"
"ENSG00000143768",-6.42190009299059,2.81276119178971,42.139840122124,8.49742706588239e-11,7.42390268628072e-09,"LEFTY2","protein_coding"
"ENSG00000145708",-6.15326560977492,0.0994422867762282,69.7251598833186,6.81709756505888e-17,3.55332544776704e-14,"CRHBP","protein_coding"
"ENSG00000145936",-5.06605788764418,4.57678557519595,77.1326545098268,1.59852381664858e-18,1.19900982764375e-15,"KCNMB1","protein_coding"
"ENSG00000146352",-7.08492470648292,1.42761690427632,28.6119968677269,8.84325963976212e-08,3.87402797295733e-06,"CLVS2","protein_coding"
"ENSG00000149294",-5.39707582793289,4.77922813058151,56.6601138956664,5.18037249935984e-14,1.17141173141774e-11,"NCAM1","protein_coding"
"ENSG00000150625",-7.18456949265631,1.15272994685901,58.441119080635,2.09467006480553e-14,5.36811570858036e-12,"GPM6A","protein_coding"
"ENSG00000151892",-5.61641933934302,2.64397997812933,63.0136876675864,2.05275105289763e-15,7.09306214941134e-13,"GFRA1","protein_coding"
"ENSG00000153446",-5.78224313811342,1.20274945763266,49.3112102798508,2.18410785952859e-12,2.95893696053227e-10,"C16orf89","protein_coding"
"ENSG00000154330",-5.64015261408222,5.59266272563936,42.168314924709,8.37459458828753e-11,7.33743325850731e-09,"PGM5","protein_coding"
"ENSG00000154736",-5.31686693637822,3.52945157025029,64.2151270315491,1.11548993557583e-15,4.28808274859542e-13,"ADAMTS5","protein_coding"
"ENSG00000156687",-5.89757822350556,-1.77960246445375,28.437369881397,9.67790664748163e-08,4.19269459587664e-06,"UNC5D","protein_coding"
"ENSG00000158022",-5.06596909658994,-1.52318005415979,23.2695134134916,1.40814460534376e-06,4.49218579337519e-05,"TRIM63","protein_coding"
"ENSG00000161055",-5.16375963956355,2.41332001686376,16.5567686940643,4.7215155758446e-05,0.000945317503280917,"SCGB3A1","protein_coding"
"ENSG00000161649",-5.73512894662706,-1.57531110179281,17.8191685950533,2.42923594000847e-05,0.000538229775670608,"CD300LG","protein_coding"
"ENSG00000163431",-5.14817315745588,6.42730673702619,47.4358075018118,5.6834949777686e-12,6.93589369251262e-10,"LMOD1","protein_coding"
"ENSG00000163792",-5.9887060870268,3.01290103808993,16.1116008354867,5.97171099173613e-05,0.00116012652008125,"TCF23","protein_coding"
"ENSG00000163815",-5.64294989433981,0.386320957030547,127.739816694735,1.27965361758443e-29,6.558864616929e-26,"CLEC3B","protein_coding"
"ENSG00000164107",-6.64967694785051,3.10834095108163,113.60982490966,1.58646350800361e-26,6.09856403270436e-23,"HAND2","protein_coding"
"ENSG00000164128",-5.33301104046467,0.549505373980375,54.1487137273142,1.85875514187735e-13,3.55045322224559e-11,"NPY1R","protein_coding"
"ENSG00000164129",-5.85265475866108,-3.67887239844378,50.8845176149032,9.79632654952905e-13,1.46959234330569e-10,"NPY5R","protein_coding"
"ENSG00000164530",-5.27967905701405,3.35183348473589,16.7622620533763,4.23675768382105e-05,0.000858044872241593,"PI16","protein_coding"
"ENSG00000165623",-5.61927375561066,-4.54443071942963,38.6894729553372,4.96881667908149e-10,3.82972479528304e-08,"UCMA","protein_coding"
"ENSG00000165694",-5.62365120888327,-0.19703943633351,17.0752664129333,3.5927170001065e-05,0.000749063226469663,"FRMD7","protein_coding"
"ENSG00000166091",-5.1125900416043,-3.51417678350326,26.0465010015755,3.33292324752616e-07,1.25455800038154e-05,"CMTM5","protein_coding"
"ENSG00000167281",-5.57554593550431,0.0308362815817287,37.2170075500712,1.05687998640918e-09,7.72024470832342e-08,"RBFOX3","protein_coding"
"ENSG00000168079",-6.46650083458201,1.53963133194967,49.0349893132784,2.51437056621266e-12,3.36193208794513e-10,"SCARA5","protein_coding"
