"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0050160182161899,3,11,50.7339246119734,"GO:0010459 negative reg. of heart rate "," http://amigo.geneontology.org/amigo/term/GO:0010459"," PLN  ADRA1A  AGTR2"
0.00197598505313906,4,23,32.3520678685048,"GO:0045822 negative reg. of heart contraction "," http://amigo.geneontology.org/amigo/term/GO:0045822"," PLN  ATP1A2  ADRA1A  AGTR2"
0.00475200255886198,4,30,24.8032520325203,"GO:1903523 negative reg. of blood circulation "," http://amigo.geneontology.org/amigo/term/GO:1903523"," PLN  ATP1A2  ADRA1A  AGTR2"
0.00875494989294717,5,80,11.6265243902439,"GO:0043502 reg. of muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0043502"," HAND2  SGCA  ADRA1A  TRIM63  PI16"
0.0050160182161899,6,107,10.4312742192842,"GO:0043500 muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0043500"," HAND2  MYOC  SGCA  ADRA1A  TRIM63  PI16"
0.000416080778009701,10,239,7.78344729053985,"GO:0090257 reg. of muscle system proc. "," http://amigo.geneontology.org/amigo/term/GO:0090257"," CASQ2  PLN  MYOCD  HAND2  ATP1A2  SGCA  ADRA1A  TRIM63  PI16  CNN1"
0.00288535994144448,9,257,6.51447281009775,"GO:0007188 adenylate cyclase-modulating G protein-coupled receptor signaling pat"," http://amigo.geneontology.org/amigo/term/GO:0007188"," PTGER3  ADCYAP1R1  ADGRD1  ADRA1A  ADGRB3  HTR1E  PDE2A  PLN  NPY1R"
0.00135906352319711,10,286,6.50434930922736,"GO:0051146 striated muscle cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0051146"," MYOCD  PGM5  SCGB3A1  LMOD1  ADGRB3  RBM24  ADRA1A  ADAMTS5  PI16  WT1"
3.67552497647883e-05,15,440,6.34174057649667,"GO:0003012 muscle system proc. "," http://amigo.geneontology.org/amigo/term/GO:0003012"," PTGER3  CASQ2  LMOD1  PLN  MYOCD  HAND2  ATP1A2  MYOC  SGCA  ADRA1A  SCN7A  TRIM63  PI16  CNN1  DES"
0.000416080778009701,12,354,6.30591153369161,"GO:0006936 muscle contraction "," http://amigo.geneontology.org/amigo/term/GO:0006936"," PTGER3  CASQ2  LMOD1  PLN  MYOCD  ATP1A2  ADRA1A  SCN7A  TRIM63  SGCA  CNN1  DES"
0.000683874485237643,12,392,5.69462419113987,"GO:0042692 muscle cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0042692"," MYOCD  PGM5  SCGB3A1  LMOD1  ADGRB3  RBM24  ADRA1A  ADAMTS5  TCF23  PI16  WFIKKN2  WT1"
0.000416080778009701,15,584,4.77802372201804,"GO:0044057 reg. of system proc. "," http://amigo.geneontology.org/amigo/term/GO:0044057"," PTGER3  CASQ2  ADRA1A  CRHBP  PLN  MYOCD  HAND2  ATP1A2  SGCA  TRIM63  PI16  AGTR2  CNN1  HSPB7  DES"
0.00135906352319711,15,681,4.09745352960137,"GO:0061061 muscle structure development "," http://amigo.geneontology.org/amigo/term/GO:0061061"," MYOCD  PGM5  SCGB3A1  LMOD1  DES  ADGRB3  RBM24  ADRA1A  ADAMTS5  TCF23  PI16  CMTM5  WFIKKN2  WT1  SGCA"
0.00543844475572702,13,618,3.91313442260636,"GO:0071407 cellular response to organic cyclic compound "," http://amigo.geneontology.org/amigo/term/GO:0071407"," PGR  ESR1  HTR1E  ATP1A2  CYP1A1  CRHBP  PDE2A  KCNMB1  HAND2  AQP8  WT1  CASQ2  FAM107A"
0.00875494989294717,14,764,3.40882390499298,"GO:0007268 chemical synaptic transmission "," http://amigo.geneontology.org/amigo/term/GO:0007268"," JPH4  NPY5R  HTR1E  CHRDL1  ADRA1A  DGKB  SYT9  FRRS1L  CRHBP  FAM107A  ATP1A2  GRIA2  PLP1  KCNMB1"
0.00875494989294717,14,764,3.40882390499298,"GO:0098916 anterograde trans-synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0098916"," JPH4  NPY5R  HTR1E  CHRDL1  ADRA1A  DGKB  SYT9  FRRS1L  CRHBP  FAM107A  ATP1A2  GRIA2  PLP1  KCNMB1"
0.00875494989294717,14,773,3.36913514025179,"GO:0099537 trans-synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0099537"," JPH4  NPY5R  HTR1E  CHRDL1  ADRA1A  DGKB  SYT9  FRRS1L  CRHBP  FAM107A  ATP1A2  GRIA2  PLP1  KCNMB1"
0.00875494989294717,20,1409,2.64051654001281,"GO:0071495 cellular response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071495"," PGR  ESR1  LEFTY2  CRHBP  HTR1E  WFIKKN2  GREM2  ATP1A2  WT1  PDE2A  CHRDL1  SFRP5  MAS1  MYOCD  TRH  AGTR2  AQP8  CLEC3B  CASQ2  FAM107A"
0.00875494989294717,22,1660,2.46538348516015,"GO:0009719 response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009719"," PGR  ESR1  LEFTY2  CRHBP  HTR1E  WFIKKN2  GREM2  ATP1A2  WT1  PDE2A  CHRDL1  SFRP5  ADRA1A  MAS1  MYOCD  TRIM63  TRH  AGTR2  AQP8  CLEC3B  CASQ2  FAM107A"
0.00587971415688622,35,3269,1.99169582702251,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," PGR  ESR1  SEL1L2  BPI  LEFTY2  CRHBP  HTR1E  WFIKKN2  GREM2  CCL14  ATP1A2  CYP1A1  WT1  PDE2A  ADCYAP1R1  CMA1  CHRDL1  SFRP5  ADRA1A  MAS1  MYOCD  KCNMB1  GFRA1  TRIM63  HAND2  TRH  AGTR2  ACKR1  AQP8  PTGIS  CLEC3B  CASQ2  GPIHBP1  FAM107A  HSPB7"
