"","logFC","logCPM","LR","PValue","FDR","gene_name","gene_type"
"ENSG00000006555",-2.10217305458115,-3.78321117428341,875.897197946381,1.70435155353807e-192,2.20821561092282e-192,"TTC22","protein_coding"
"ENSG00000009709",-4.08731455707249,-4.94173560426896,638.023666664519,8.99010468329978e-141,1.11707334451455e-140,"PAX7","protein_coding"
"ENSG00000015520",-4.64370493975786,-4.83414148502656,957.035572169851,3.9209329888636e-210,5.13328972070964e-210,"NPC1L1","protein_coding"
"ENSG00000036473",-4.08731455707249,-4.94173560426896,638.023666664519,8.99010468329978e-141,1.11707334451455e-140,"OTC","protein_coding"
"ENSG00000063515",-4.64370493975786,-4.83414148502656,957.035572169851,3.9209329888636e-210,5.13328972070964e-210,"GSC2","protein_coding"
"ENSG00000069011",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"PITX1","protein_coding"
"ENSG00000075673",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"ATP12A","protein_coding"
"ENSG00000080644",-2.44459908503959,-4.21502646179135,742.446806143825,1.76095755746359e-163,2.23361750130436e-163,"CHRNA3","protein_coding"
"ENSG00000089116",-4.08731455707249,-4.94173560426896,638.023666664519,8.99010468329978e-141,1.11707334451455e-140,"LHX5","protein_coding"
"ENSG00000094796",-5.04424134148274,-4.73401767651402,1276.04747866216,1.81333335664858e-279,2.48524848780005e-279,"KRT31","protein_coding"
"ENSG00000095777",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"MYO3A","protein_coding"
"ENSG00000099834",-2.10217305458115,-3.78321117428341,875.897197946381,1.70435155353807e-192,2.20821561092282e-192,"CDHR5","protein_coding"
"ENSG00000100341",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"PNPLA5","protein_coding"
"ENSG00000100593",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"ISM2","protein_coding"
"ENSG00000101197",-2.85225626243891,-4.08596915610137,1194.3958908873,1.00746681276167e-261,1.36505157873913e-261,"BIRC7","protein_coding"
"ENSG00000101958",-2.38808153864639,-3.68644643096771,1273.81869661728,5.53134231824975e-279,7.57124382007844e-279,"GLRA2","protein_coding"
"ENSG00000104140",-3.01971274264529,-4.02552656721997,1434.08429706205,8.23952187067753e-314,1.14947280471604e-313,"RHOV","protein_coding"
"ENSG00000105929",-2.18744187296173,-4.28415963371232,535.20708072675,2.0803218149165e-118,2.53881311571665e-118,"ATP6V0A4","protein_coding"
"ENSG00000106031",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"HOXA13","protein_coding"
"ENSG00000114374",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"USP9Y","protein_coding"
"ENSG00000115844",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"DLX2","protein_coding"
"ENSG00000122375",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"OPN4","protein_coding"
"ENSG00000123009",-4.64370493975786,-4.83414148502656,957.035572169851,3.9209329888636e-210,5.13328972070964e-210,"NME2P1","processed_pseudogene"
"ENSG00000123576",-5.04424134148274,-4.73401767651402,1276.04747866216,1.81333335664858e-279,2.48524848780005e-279,"ESX1","protein_coding"
"ENSG00000124664",-2.18744187296173,-4.28415963371232,535.20708072675,2.0803218149165e-118,2.53881311571665e-118,"SPDEF","protein_coding"
"ENSG00000124721",-4.08731455707249,-4.94173560426896,638.023666664519,8.99010468329978e-141,1.11707334451455e-140,"DNAH8","protein_coding"
"ENSG00000125813",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"PAX1","protein_coding"
"ENSG00000126010",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"GRPR","protein_coding"
"ENSG00000126266",-3.1697849556742,-5.05800529357967,319.011763569924,2.37772462156529e-71,2.76672922138958e-71,"FFAR1","protein_coding"
"ENSG00000128645",-4.64370493975786,-4.83414148502656,957.035572169851,3.9209329888636e-210,5.13328972070964e-210,"HOXD1","protein_coding"
"ENSG00000129354",-5.04424134148274,-4.73401767651402,1276.04747866216,1.81333335664858e-279,2.48524848780005e-279,"AP1M2","protein_coding"
