"","logFC","logCPM","LR","PValue","FDR","gene_name","gene_type"
"ENSG00000005381",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"MPO","protein_coding"
"ENSG00000007908",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"SELE","protein_coding"
"ENSG00000008196",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"TFAP2B","protein_coding"
"ENSG00000018607",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"ZNF806","transcribed_unprocessed_pseudogene"
"ENSG00000046604",-5.04449320018381,-4.22799323108491,1291.51940020473,7.87371310899334e-283,1.02041333267301e-282,"DSG2","protein_coding"
"ENSG00000069018",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"TRPC7","protein_coding"
"ENSG00000069482",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"GAL","protein_coding"
"ENSG00000084674",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"APOB","protein_coding"
"ENSG00000105989",-5.04449320018381,-4.22799323108491,1291.51940020473,7.87371310899334e-283,1.02041333267301e-282,"WNT2","protein_coding"
"ENSG00000107165",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"TYRP1","protein_coding"
"ENSG00000117560",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"FASLG","protein_coding"
"ENSG00000120436",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"GPR31","protein_coding"
"ENSG00000121764",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"HCRTR1","protein_coding"
"ENSG00000125726",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"CD70","protein_coding"
"ENSG00000125931",-5.04449320018381,-4.22799323108491,1291.51940020473,7.87371310899334e-283,1.02041333267301e-282,"CITED1","protein_coding"
"ENSG00000126262",-2.66314604021463,-3.64303073036355,1166.93724402198,9.35065504576164e-256,1.19776697408524e-255,"FFAR2","protein_coding"
"ENSG00000130600",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"H19","lncRNA"
"ENSG00000130768",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"SMPDL3B","protein_coding"
"ENSG00000132671",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"SSTR4","protein_coding"
"ENSG00000135480",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"KRT7","protein_coding"
"ENSG00000136573",-5.04449320018381,-4.22799323108491,1291.51940020473,7.87371310899334e-283,1.02041333267301e-282,"BLK","protein_coding"
"ENSG00000136944",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"LMX1B","protein_coding"
"ENSG00000137225",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"CAPN11","protein_coding"
"ENSG00000140287",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"HDC","protein_coding"
"ENSG00000141096",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"DPEP3","protein_coding"
"ENSG00000143217",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"NECTIN4","protein_coding"
"ENSG00000144852",-2.66314604021463,-3.64303073036355,1166.93724402198,9.35065504576164e-256,1.19776697408524e-255,"NR1I2","protein_coding"
"ENSG00000148677",-2.66314604021463,-3.64303073036355,1166.93724402198,9.35065504576164e-256,1.19776697408524e-255,"ANKRD1","protein_coding"
"ENSG00000150175",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"FRMPD2B","unprocessed_pseudogene"
"ENSG00000158022",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"TRIM63","protein_coding"
"ENSG00000162494",-2.85262405969587,-3.53095090373372,1429.86348040292,6.80894561286103e-313,8.94709402716215e-313,"LRRC38","protein_coding"
"ENSG00000163914",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"RHO","protein_coding"
"ENSG00000166183",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"ASPG","protein_coding"
"ENSG00000167105",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"TMEM92","protein_coding"
"ENSG00000167244",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"IGF2","protein_coding"
"ENSG00000168418",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"KCNG4","protein_coding"
"ENSG00000171551",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"ECEL1","protein_coding"
"ENSG00000171611",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"PTCRA","protein_coding"
"ENSG00000172650",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"AGAP5","protein_coding"
"ENSG00000173585",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"CCR9","protein_coding"
"ENSG00000174175",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"SELP","protein_coding"
"ENSG00000174500",-2.10254788184966,-3.31816468777721,1107.43401310487,8.00109393680948e-243,1.01769749877927e-242,"GCSAM","protein_coding"
"ENSG00000175084",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"DES","protein_coding"
"ENSG00000175967",-5.04449320018381,-4.22799323108491,1291.51940020473,7.87371310899334e-283,1.02041333267301e-282,"LINC02880","lncRNA"
"ENSG00000178146",-2.18780733114877,-3.89726918118639,669.591956058369,1.22558358163354e-147,1.4757332493588e-147,"GK4P","processed_pseudogene"
"ENSG00000178602",-5.04449320018381,-4.22799323108491,1291.51940020473,7.87371310899334e-283,1.02041333267301e-282,"OTOS","protein_coding"
"ENSG00000180878",-2.25257346408998,-3.22799323108451,1339.18391474011,3.4522643384232e-293,4.49699971733464e-293,"C11orf42","protein_coding"
"ENSG00000183671",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"GPR1","protein_coding"
"ENSG00000184350",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"MRGPRE","protein_coding"
"ENSG00000184374",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"COLEC10","protein_coding"
"ENSG00000185155",-2.85262405969587,-3.53095090373372,1429.86348040292,6.80894561286103e-313,8.94709402716215e-313,"MIXL1","protein_coding"
"ENSG00000185860",-2.18780733114877,-3.89726918118639,669.591956058369,1.22558358163354e-147,1.4757332493588e-147,"CCDC190","protein_coding"
"ENSG00000185915",-2.18780733114877,-3.89726918118639,669.591956058369,1.22558358163354e-147,1.4757332493588e-147,"KLHL34","protein_coding"
"ENSG00000187166",-2.25257346408998,-3.22799323108451,1339.18391474011,3.4522643384232e-293,4.49699971733464e-293,"H1-7","protein_coding"
"ENSG00000187258",-5.04449320018381,-4.22799323108491,1291.51940020473,7.87371310899334e-283,1.02041333267301e-282,"NPSR1","protein_coding"
"ENSG00000188162",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"OTOG","protein_coding"
"ENSG00000188257",-2.18780733114877,-3.89726918118639,669.591956058369,1.22558358163354e-147,1.4757332493588e-147,"PLA2G2A","protein_coding"
"ENSG00000189334",-5.04449320018381,-4.22799323108491,1291.51940020473,7.87371310899334e-283,1.02041333267301e-282,"S100A14","protein_coding"
"ENSG00000197934",-2.66314604021463,-3.64303073036355,1166.93724402198,9.35065504576164e-256,1.19776697408524e-255,"CYYR1-AS1","lncRNA"
"ENSG00000198074",-2.18780733114877,-3.89726918118639,669.591956058369,1.22558358163354e-147,1.4757332493588e-147,"AKR1B10","protein_coding"
"ENSG00000204091",-2.66314604021463,-3.64303073036355,1166.93724402198,9.35065504576164e-256,1.19776697408524e-255,"TDRG1","lncRNA"
"ENSG00000205622",-2.25257346408998,-3.22799323108451,1339.18391474011,3.4522643384232e-293,4.49699971733464e-293,"AP001042.1","lncRNA"
"ENSG00000211598",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"IGKV4-1","IG_V_gene"
"ENSG00000211677",-5.04449320018381,-4.22799323108491,1291.51940020473,7.87371310899334e-283,1.02041333267301e-282,"IGLC2","IG_C_gene"
"ENSG00000211679",-3.17001582579212,-4.87983653851275,322.879786674798,3.41688207535956e-72,3.88917258265659e-72,"IGLC3","IG_C_gene"
"ENSG00000211943",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"IGHV3-15","IG_V_gene"
"ENSG00000213376",-2.25257346408998,-3.22799323108451,1339.18391474011,3.4522643384232e-293,4.49699971733464e-293,"GAPDHP71","processed_pseudogene"
"ENSG00000213864",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"EEF1B2P2","processed_pseudogene"
"ENSG00000213985",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"AC078899.1","processed_pseudogene"
"ENSG00000216906",-2.85262405969587,-3.53095090373372,1429.86348040292,6.80894561286103e-313,8.94709402716215e-313,"AL355312.1","processed_pseudogene"
"ENSG00000224215",-2.18780733114877,-3.89726918118639,669.591956058369,1.22558358163354e-147,1.4757332493588e-147,"AL606469.1","lncRNA"
"ENSG00000224965",-4.64395427982551,-4.41435001654634,968.639528194821,1.17763509482808e-212,1.47684075283175e-212,"LINC02586","lncRNA"
"ENSG00000226673",-4.0875590080309,-4.62840045809211,645.759656745205,1.86769896445505e-142,2.23622699404637e-142,"LINC01108","lncRNA"
"ENSG00000227295",-2.25257346408998,-3.22799323108451,1339.18391474011,3.4522643384232e-293,4.49699971733464e-293,"ELL2P1","processed_pseudogene"
"ENSG00000228363",-2.25257346408998,-3.22799323108451,1339.18391474011,3.4522643384232e-293,4.49699971733464e-293,"AC015971.1","lncRNA"
