"","logFC","logCPM","LR","PValue","FDR","gene_name","gene_type"
"ENSG00000002822",3.30598342638328,-2.70322068809244,1263.31752043872,1.05907495358141e-276,1.44683654704698e-276,"MAD1L1","protein_coding"
"ENSG00000004809",5.35758649073347,-3.57949566860543,848.17926080578,1.80883681922934e-186,2.33047292240512e-186,"SLC22A16","protein_coding"
"ENSG00000005073",5.35758649073347,-3.57949566860543,848.17926080578,1.80883681922934e-186,2.33047292240512e-186,"HOXA11","protein_coding"
"ENSG00000005381",4.64389012411875,-4.03057316629994,508.907542459765,1.09623241415106e-112,1.32888100996853e-112,"MPO","protein_coding"
"ENSG00000007908",4.08749611022275,-4.32310216587036,339.271683568839,9.1935968176433e-76,1.07735412322083e-75,"SELE","protein_coding"
"ENSG00000008196",3.1699564221586,-4.6904345331366,169.6358252187,8.8860014512227e-39,9.94873474901655e-39,"TFAP2B","protein_coding"
"ENSG00000010932",2.17650905810239,-2.37872628056712,1042.84121325339,8.75635378798615e-229,1.16370255111476e-228,"FMO1","protein_coding"
"ENSG00000018607",4.64389012411875,-4.03057316629994,508.907542459765,1.09623241415106e-112,1.32888100996853e-112,"ZNF806","transcribed_unprocessed_pseudogene"
"ENSG00000046604",5.04442839646956,-3.78747635119896,678.543401572081,1.38575364686506e-149,1.73801366342227e-149,"DSG2","protein_coding"
"ENSG00000049249",2.13570285301178,-2.06058383768145,1304.06445763965,1.47896922589637e-285,2.03468759614744e-285,"TNFRSF9","protein_coding"
"ENSG00000055732",3.02007446724667,-2.93137456118685,961.352194167784,4.51930517856400e-211,5.93212995885905e-211,"MCOLN3","protein_coding"
"ENSG00000069018",4.64389012411875,-4.03057316629994,508.907542459765,1.09623241415106e-112,1.32888100996853e-112,"TRPC7","protein_coding"
"ENSG00000069482",4.64389012411875,-4.03057316629994,508.907542459765,1.09623241415106e-112,1.32888100996853e-112,"GAL","protein_coding"
"ENSG00000073754",2.27519335364363,-2.2968340176928,1174.44181916008,2.18702936857019e-257,2.95239974501966e-257,"CD5L","protein_coding"
"ENSG00000078795",5.83292474228504,-3.23636795849455,1187.45097947944,3.25509214634229e-260,4.40365371659951e-260,"PKD2L2","protein_coding"
"ENSG00000079689",6.02240261747337,-3.0912320713437,1357.08683888121,4.44277188675461e-297,6.14888017367757e-297,"SCGN","protein_coding"
"ENSG00000080007",5.35758649073347,-3.57949566860543,848.17926080578,1.80883681922934e-186,2.33047292240512e-186,"DDX43","protein_coding"
"ENSG00000084674",4.64389012411875,-4.03057316629994,508.907542459765,1.09623241415106e-112,1.32888100996853e-112,"APOB","protein_coding"
"ENSG00000086967",5.35758649073347,-3.57949566860543,848.17926080578,1.80883681922934e-186,2.33047292240512e-186,"MYBPC2","protein_coding"
"ENSG00000090402",5.35758649073347,-3.57949566860543,848.17926080578,1.80883681922934e-186,2.33047292240512e-186,"SI","protein_coding"
"ENSG00000095752",2.07057558951998,-2.4655482563116,913.992878655948,8.91174881145227e-201,1.16080370842493e-200,"IL11","protein_coding"
"ENSG00000101425",2.27519335364363,-2.2968340176928,1174.44181916008,2.18702936857019e-257,2.95239974501966e-257,"BPI","protein_coding"
"ENSG00000102010",2.17650905810239,-2.37872628056712,1042.84121325339,8.75635378798615e-229,1.16370255111476e-228,"BMX","protein_coding"
"ENSG00000104808",2.17650905810239,-2.37872628056712,1042.84121325339,8.75635378798615e-229,1.16370255111476e-228,"DHDH","protein_coding"
